,name,salary,score,type,location,scale,url
59,聚橙网,平均工资  ￥4620,2.5,广告/公关/会展 ,深圳 ,100-499人 ,www.juooo.com
60,新意互动（CIG）,平均工资  ￥6600,3.8,广告/公关/会展 ,北京 ,100-499人 ,www.ci-ad.com
61,迪思传媒,平均工资  ￥6927,3.5,广告/公关/会展 ,湖州 ,100-499人 ,www.dsconsulting.com.cn
62,广州达生,平均工资  ￥3150,3.2,广告/公关/会展 ,广州 ,1000-9999人 ,www.dawson.com.cn
63,西西弗Sisyphe,平均工资  ￥2000,3.7,影视/媒体 ,重庆 ,1000-9999人,
64,环球时报,平均工资  ￥8200,3.9,影视/媒体 ,北京 ,20-99人 ,www.huanqiu.com
65,灵思传播机构,平均工资  ￥5800,3.3,广告/公关/会展 ,深圳 ,20-99人 ,www.linksus.com.cn/index.html
66,广东电视台,平均工资  ￥6000,3.8,影视/媒体 ,广州 ,1000-9999人 ,www.gdtv.com.cn
67,上海电通广告公司,平均工资  ￥8000,3.9,广告/公关/会展 ,北京 ,100-499人 ,www.beijing-dentsu.com.cn
68,广州日报社,平均工资  ￥6000,3.6,文化/艺术/出版 ,广州 ,100-499人 ,gzdaily.dayoo.com
69,国家大剧院,平均工资  ￥4350,3.8,影视/媒体 ,北京 ,500-999人 ,www.chncpa.org
70,励展博览集团,平均工资  ￥5987,3.4,广告/公关/会展 ,北京 ,500-999人 ,www.reedexpo.com.cn
71,华谊兄弟传媒股份有限公司,平均工资  ￥6170,4.1,影视/媒体 ,北京 ,1000-9999人 ,www.huayimedia.com
72,磨铁图书,平均工资  ￥5393,4.0,影视/媒体 ,北京 ,100-499人 ,www.motie.com
73,浙江思美传媒股份有限公司,平均工资  ￥6000,3.8,影视/媒体 ,杭州 ,100-499人 ,www.simei.cc
74,财新传媒,平均工资  ￥8000,3.8,文化/艺术/出版 ,北京 ,20-99人 ,www.caixin.com
75,路透,平均工资  ￥15840,5.0,影视/媒体 ,北京 ,500-999人 ,cn.reuters.com
76,上海电视台,平均工资  ￥6478,3.7,影视/媒体 ,上海 ,500-999人 ,www.smg.cn
77,21世纪经济报道,平均工资  ￥7920,4.4,影视/媒体 ,广州 ,500-999人 ,www.21cbh.com
78,新华文轩,平均工资  ￥2686,4.0,文化/艺术/出版 ,成都 ,1000-9999人 ,www.winshare.com.cn
79,上海东方激光教育文化有限公司,平均工资  ￥3000,2.3,文化/艺术/出版 ,上海 ,20-99人 ,www.dfjgdph.com
80,深圳报业集团,平均工资  ￥7224,3.3,文化/艺术/出版 ,深圳 ,500-999人 ,www.sznews.com
81,好耶广告,平均工资  ￥7900,3.3,广告/公关/会展 ,上海 ,100-499人 ,www.allyes.com
82,上海明酷市场营销服务有限公司,平均工资  ￥3500,3.3,广告/公关/会展 ,上海 ,500-999人 ,www.mecoolchina.com
83,无锡天脉聚源传媒,平均工资  ￥3000,3.1,影视/媒体 ,无锡 ,20-99人 ,www.tvmining.com
84,中国新闻社,平均工资  ￥5075,3.6,文化/艺术/出版 ,北京 ,500-999人 ,www.chinanews.com.cn
85,悠易互通,平均工资  ￥9254,5.0,广告/公关/会展 ,北京 ,100-499人 ,www.yoyi.com.cn
86,天津电视台,平均工资  ￥5280,3.3,影视/媒体 ,天津 ,1000-9999人 ,www.tjtv.com.cn
87,欧安派,平均工资  ￥5800,3.4,广告/公关/会展 ,上海 ,100-499人 ,www.ompchina.com
88,锋镝传媒,平均工资  ￥3500,3.6,影视/媒体 ,深圳 ,100-499人 ,www.discoversources.com
89,四川电视台,平均工资  ￥4350,3.8,影视/媒体 ,成都 ,1000-9999人 ,www.sctv.com
