job_title,yearly_salary,place,seniority,degree
内容编辑,4k-8k,长沙 岳麓区 麓谷,1年以内,大专
内容编辑,8k-16k,北京 西城区 复兴门,经验不限,本科
内容编辑,4k-8k,佛山  ,经验不限,学历不限
内容编辑,3k-6k,太原  ,经验不限,大专
内容编辑,3k-6k,郑州 管城回族区 航海东路,经验不限,大专
内容编辑,12k-24k,北京 朝阳区 呼家楼,3-5年,本科
内容编辑,5k-10k,深圳 龙华区 锦绣江南,经验不限,大专
内容编辑,4k-8k,长沙 芙蓉区 五一大道,1年以内,学历不限
内容编辑,6k-10k,上海 静安区 共和新路,1-3年,本科
内容编辑,9k-18k,北京 东城区 海运仓,经验不限,本科
内容编辑,10k-20k,厦门 湖里区 ,经验不限,大专
内容编辑,5k-10k,深圳 龙岗区 横岗,经验不限,大专
内容编辑,3k-6k,长沙 岳麓区 麓谷,经验不限,大专
内容编辑,4k-6k,苏州 吴中区 独墅湖,1年以内,本科
内容编辑,3k-6k,长沙 天心区 劳动西路,1-3年,大专
内容编辑,7k-10k,北京 朝阳区 百子湾,经验不限,本科
内容编辑,3k-6k,沈阳  ,1年以内,本科
内容编辑,3k-4k,哈尔滨  ,1年以内,大专
内容编辑,4k-6k,青岛  ,1-3年,本科
内容编辑,6k-9k,石家庄  ,1年以内,大专
内容编辑,5k-10k,北京 朝阳区 三里屯,1-3年,大专
内容编辑,4k-8k,厦门 思明区 ,1-3年,本科
内容编辑,5k-8k,北京 海淀区 苏州桥,经验不限,本科
内容编辑,6k-10k,广州 海珠区 工业大道,1-3年,学历不限
内容编辑,3k-6k,南昌  ,应届生,学历不限
媒介经理,5k-10k,赣州  ,1年以内,大专
媒介经理,6k-12k,新乡  ,1-3年,本科
媒介经理,10k-15k,广州 天河区 珠江新城,1年以内,大专
媒介经理,6k-12k,北京 朝阳区 定福庄,1-3年,本科
媒介经理,11k-18k,武汉 江岸区 竹叶山,1年以内,学历不限
媒介经理,10k-18k,北京  ,3-5年,本科
综艺节目媒介经理/客户经理,8k-12k,北京 朝阳区 朝阳路,1-3年,本科
媒介经理,8k-12k,上海 徐汇区 ,1年以内,本科
媒介经理,5k-10k,上海 静安区 北京西路,1-3年,本科
媒介经理,4k-7k,南昌  ,1-3年,大专
媒介经理,3k-6k,长春  ,1-3年,本科
媒介经理,3k-6k,兰州  ,经验不限,中专/中技
媒介经理,3k-6k,无锡  ,1-3年,大专
媒介经理,4k-6k,北京 朝阳区 朝阳路,3-5年,本科
媒介经理,6k-12k,北京 朝阳区 红庙,1年以内,本科
AE媒介经理,3k-4k,惠州  ,1-3年,大专
媒介经理,5k-7k,广州 越秀区 梅花村,1-3年,本科
媒介经理,4k-8k,东莞  ,1-3年,大专
广告媒介经理,6k-10k,武汉 江汉区 常青路,1-3年,大专
媒介经理,8k-12k,青岛  ,1年以内,本科
媒介经理,3k-5k,石家庄  ,1年以内,大专
媒介经理,10k-11k,深圳 宝安区 新安,3-5年,大专
媒介经理,15k-30k,北京 朝阳区 三里屯,1-3年,本科
媒介经理,10k-20k,深圳 宝安区 翻身路,经验不限,学历不限
媒介经理,8k-15k,北京 朝阳区 大山子,3-5年,本科
媒介经理,8k-16k,宁波  ,1年以内,本科
媒介经理,10k-15k,北京 西城区 后海,1-3年,本科
媒介经理,5k-8k,上海 长宁区 ,1-3年,本科
媒介经理,6k-12k,杭州 滨江区 长河,1年以内,学历不限
媒介经理,8k-12k,上海 闵行区 虹桥机场,3-5年,本科
高级项目总监,10k-18k,广州 天河区 珠江新城,1-3年,大专
新媒体运营实习生,2k-3k,北京 东城区 朝阳门,应届生,本科
手游平台运营经理（游戏狗手游网）,4k-5k,合肥  ,1年以内,本科
新媒体运营,6k-12k,上海 长宁区 北新泾,经验不限,本科
传媒招聘项目组运营专员,4k-7k,青岛  ,经验不限,学历不限
用户运营岗,3k-4k,北京 朝阳区 CBD,应届生,本科
新媒体运营,3k-5k,烟台  ,经验不限,学历不限
网络运营,3k-6k,长春  ,经验不限,高中
网络经济人,3k-6k,哈尔滨  ,经验不限,学历不限
公开课运营专员,5k-8k,北京  ,1-3年,本科
网络推广,2k-3k,长春  ,1年以内,学历不限
市场推广,3k-4k,厦门 湖里区 金尚路,1年以内,本科
360市场推广,7k-11k,保定  ,经验不限,高中
市场推广,3k-5k,周口  ,经验不限,初中及以下
市场推广,4k-8k,乌鲁木齐  ,1-3年,大专
市场推广,4k-8k,南昌  ,1年以内,学历不限
市场推广,3k-5k,青岛  ,经验不限,大专
市场推广,4k-8k,贵阳  ,1年以内,本科
市场推广,4k-8k,济南  ,经验不限,学历不限
市场推广,5k-10k,合肥  ,3-5年,大专
市场推广,4k-5k,南昌  ,经验不限,中专/中技
市场推广,5k-8k,南昌  ,经验不限,大专
市场推广,4k-5k,昆明  ,1年以内,学历不限
市场推广,5k-10k,昆明  ,1-3年,大专
市场推广,8k-16k,东莞  ,经验不限,学历不限
市场推广专员,4k-8k,苏州 姑苏区 葑门,1年以内,本科
市场推广专员,4k-8k,临沂  ,经验不限,学历不限
市场推广,3k-6k,宁波  ,1年以内,学历不限
省内市场推广,6k-12k,南昌  ,1年以内,大专
市场推广,10k-11k,宁波  ,经验不限,学历不限
市场推广,2k-6k,渭南  ,经验不限,学历不限
市场推广专员,3k-5k,银川  ,经验不限,大专
市场推广,4k-8k,武汉 青山区 建设二路,经验不限,大专
市场推广,5k-10k,南通  ,1年以内,高中
市场推广,8k-9k,无锡  ,1年以内,学历不限
网络客服/市场推广,3k-6k,长沙  ,经验不限,大专
市场推广,3k-5k,宁波  ,1-3年,大专
市场推广,5k-6k,台州  ,3-5年,大专
市场推广,7k-14k,石家庄  ,1年以内,大专
市场推广专员,4k-6k,银川  ,经验不限,学历不限
市场推广,4k-8k,绍兴  ,经验不限,学历不限
IP产品经理,6k-10k,福州  ,3-5年,本科
产品经理,6k-8k,南京 鼓楼区 湖北路,3-5年,大专
新零售产品经理,10k-15k,上海 闵行区 虹桥机场,3-5年,本科
金融产品经理,10k-11k,宁波  ,1-3年,大专
产品经理,12k-18k,广州 黄埔区 ,1-3年,本科
互联网产品经理,15k-20k,天津  ,3-5年,学历不限
金融产品经理,8k-15k,太原  ,1年以内,大专
旅游产品经理,10k-15k,北京 朝阳区 朝阳路,3-5年,大专
To B 互联网产品经理,20k-30k,北京 东城区 东直门,3-5年,本科
产品经理,15k-20k,上海 静安区 南京西路,3-5年,大专
区块链高级产品经理（终端业务方向）,8k-15k,南京 建邺区 小行,3-5年,本科
旅游产品经理,4k-8k,北京 朝阳区 十里堡,经验不限,大专
风控产品经理,5k-10k,许昌  ,1年以内,本科
旅游产品经理,7k-8k,上海 浦东新区 洋泾,1-3年,大专
产品经理,4k-8k,厦门 思明区 莲花,应届生,本科
产品经理（社交）,15k-25k,上海 长宁区 北新泾,1-3年,本科
旅游产品经理,4k-6k,贵阳  ,1-3年,大专
产品经理,15k-30k,玉溪  ,3-5年,学历不限
产品经理   （SAAS方向）,15k-30k,深圳 南山区 蛇口,3-5年,大专
旅游产品经理,7k-14k,北京 海淀区 圆明园,1-3年,本科
产品经理,15k-20k,天津 和平区 和平路,3-5年,大专
互联网产品经理,7k-12k,深圳 宝安区 新安,3-5年,本科
产品经理,10k-13k,常州  ,1-3年,本科
移动产品经理,10k-20k,北京 朝阳区 酒仙桥,3-5年,本科
互联网产品经理,10k-16k,深圳 南山区 桃源村,3-5年,学历不限
产品经理助理,5k-8k,北京  ,1年以内,本科
产品经理,7k-8k,深圳 宝安区 西乡,1-3年,本科
产品经理,10k-20k,深圳 宝安区 沙井,3-5年,本科
产品经理/主管,8k-15k,合肥  ,1-3年,本科
区块链高级产品经理（底层构架方向）,10k-20k,南京 建邺区 小行,3-5年,本科
网红/艺人签约,20k-40k,北京 朝阳区 高碑店,应届生,本科
产业研究总监,20k-40k,北京 海淀区 西二旗,5-10年,硕士
电视栏目主编,20k-40k,北京 朝阳区 百子湾,5-10年,本科
总编,20k-40k,北京 朝阳区 大望路,5-10年,本科
项目经理,10k-20k,北京 朝阳区 呼家楼,3-5年,本科
小程序开发,10k-15k,北京 朝阳区 北苑,经验不限,本科
综艺制作中心总监,20k-25k,北京 朝阳区 朝阳路,5-10年,本科
销售VP,25k-30k,北京 朝阳区 东大桥,10年以上,本科
咨询(市场调研、行业分析)项目总监,20k-30k,北京 海淀区 花园桥,5-10年,本科
区块链学院课程总监,40k-60k,北京 朝阳区 北苑,5-10年,本科
PHP开发工程师,13k-15k,北京 朝阳区 四惠,1-3年,本科
产品经理,10k-20k,北京 朝阳区 呼家楼,3-5年,本科
Web前端工程师,15k-20k,北京 朝阳区 建国路,1-3年,本科
PHP工程师,10k-15k,北京 海淀区 木樨地,1-3年,本科
图像图像算法工程师,20k-30k,北京 朝阳区 望京,1-3年,本科
测试工程师,10k-20k,北京 朝阳区 呼家楼,3-5年,本科
后期剪辑,20k-25k,北京 朝阳区 双井,经验不限,学历不限
高级运维工程师,13k-25k,北京 朝阳区 呼家楼,3-5年,本科
自然语言处理工程师,15k-25k,北京  ,3-5年,本科
后端开发,11k-20k,北京 朝阳区 望京,1-3年,本科
后期包装设计,10k-20k,北京 大兴区 亦庄,3-5年,本科
程序员,10k-20k,北京 朝阳区 朝阳路,1-3年,本科
Android开发工程师,15k-25k,北京 朝阳区 望京,3-5年,本科
PHP高级软件工程师,12k-22k,北京 朝阳区 四惠,3-5年,本科
运营主编,20k-40k,北京 朝阳区 呼家楼,5-10年,本科
公益项目主管,10k-15k,北京 朝阳区 百子湾,1-3年,本科
设计经理,10k-15k,北京 朝阳区 定福庄,3-5年,本科
咨询总监,20k-40k,北京 海淀区 西二旗,5-10年,本科
技能等级项目经理,15k-20k,北京 海淀区 上地,3-5年,本科
APP产品经理,15k-25k,北京 朝阳区 望京,3-5年,本科
文案,7k-9k,深圳 南山区 海上世界,1年以内,学历不限
文案编辑,3k-5k,济南 天桥区 北园,经验不限,大专
文案,8k-9k,北京 东城区 朝阳门,1-3年,本科
文案,5k-8k,上海  ,1-3年,大专
文案,5k-7k,西安 雁塔区 永松路,3-5年,大专
策划文案,6k-10k,北京 大兴区 西红门,1-3年,大专
文案策划,4k-6k,广州  ,经验不限,大专
文案,3k-5k,武汉  ,1-3年,学历不限
文案编辑,6k-11k,深圳 福田区 车公庙,1-3年,大专
文案,5k-10k,杭州 上城区 南星,1-3年,大专
文案策划,6k-12k,宁波  ,经验不限,学历不限
文案,10k-18k,杭州 西湖区 翠苑,1-3年,本科
文案,3k-6k,苏州 姑苏区 拙政园,1-3年,学历不限
文案,8k-10k,上海 长宁区 交大,1-3年,本科
文案,6k-12k,郑州 金水区 经三路,1年以内,本科
文案策划,4k-7k,广州 南沙区 ,1-3年,大专
文案,8k-15k,北京 大兴区 ,1-3年,大专
文案助理,5k-8k,杭州 拱墅区 拱宸桥,1年以内,大专
文案,6k-8k,深圳 福田区 上梅林,1年以内,本科
广告文案,8k-15k,深圳 龙华区 滢水山庄,1-3年,大专
文案编辑,2k-4k,广州 天河区 棠下,应届生,大专
文案写作,4k-5k,西安 雁塔区 光华路,经验不限,本科
创意文案,6k-8k,上海 普陀区 长寿路,1-3年,本科
文案（healthcare）,7k-8k,上海 静安区 天目西路,经验不限,本科
文案,8k-15k,苏州  ,5-10年,本科
文案编辑,6k-10k,沈阳  ,3-5年,本科
文案,8k-10k,北京 丰台区 马家堡,1-3年,本科
文案,3k-6k,三亚  ,1年以内,本科
创意文案,4k-8k,济南 历下区 花园路,1年以内,大专
文案编辑,5k-10k,上海 徐汇区 龙华,1-3年,本科
内容编辑,10k-15k,北京 朝阳区 呼家楼,5-10年,本科
内容编辑,7k-8k,北京 朝阳区 三元桥,1-3年,本科
文案内容编辑,3k-6k,呼和浩特  ,经验不限,高中
内容编辑,6k-12k,上海 普陀区 长寿路,1-3年,本科
内容编辑,5k-8k,深圳 南山区 科技园,1年以内,本科
内容编辑,5k-7k,苏州 吴中区 东环路,1-3年,本科
内容编辑,3k-6k,石家庄  ,经验不限,中专/中技
内容编辑,4k-6k,武汉 江岸区 三阳路,1-3年,大专
内容编辑,4k-7k,长春  ,经验不限,学历不限
内容编辑,4k-8k,长沙 岳麓区 玉兰路,经验不限,大专
内容编辑,3k-6k,郑州 管城回族区 航海东路,1年以内,大专
内容编辑,4k-8k,呼和浩特  ,经验不限,大专
内容编辑,6k-8k,北京 朝阳区 团结湖,1-3年,本科
内容编辑,3k-5k,深圳 宝安区 西乡,经验不限,学历不限
内容编辑,4k-8k,威海  ,经验不限,学历不限
内容编辑,4k-5k,东莞  ,3-5年,大专
内容编辑,10k-15k,北京 朝阳区 望京,1-3年,本科
内容编辑,3k-6k,济南 历下区 会展中心,1年以内,大专
内容编辑,2k-4k,广州 越秀区 东风东,1年以内,大专
内容编辑,3k-4k,广州 番禺区 南浦,1年以内,大专
内容编辑,5k-10k,北京 海淀区 中关村,经验不限,学历不限
内容编辑,4k-8k,滨州  ,经验不限,学历不限
内容编辑,3k-6k,太原  ,1-3年,本科
内容编辑,5k-8k,廊坊  ,1年以内,大专
内容编辑,6k-12k,杭州 滨江区 长河,1-3年,学历不限
内容编辑,8k-10k,天津 南开区 体育中心,1-3年,本科
高级内容编辑,3k-6k,芜湖  ,1-3年,学历不限
微信、网站内容编辑,5k-8k,北京 海淀区 学院路,1-3年,本科
微信内容编辑,3k-6k,邯郸  ,1-3年,大专
内容编辑,10k-20k,上海  ,经验不限,本科
